name,n,minimum_unit_chord,epsilon_infimum,contact_pair_count_at_infimum,affine_rank,centeredness_claim,ambient_dimension
n2_antipodal,2,2.0,0.0,1,1,CENTERED_WEAK_OR_UNCERTIFIED,3
n4_tetrahedron,4,1.6329931618554523,0.22474487139158894,6,3,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,3
n4_square_transition_witness,4,1.4142135623730951,0.4142135623730949,4,2,CENTERED_WEAK_OR_UNCERTIFIED,3
n5_4_simplex,5,1.5811388300841895,0.26491106406735176,10,4,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,4
n6_octahedron,6,1.4142135623730951,0.4142135623730949,12,3,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,3
n12_cuboctahedron_fcc_shell,12,0.9999999999999999,1.0000000000000004,24,3,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,3
n12_hcp_shell,12,0.9999999999999996,1.0000000000000009,24,3,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,3
n12_icosahedron_comparator,12,1.051462224238267,0.9021130325903075,30,3,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,3
n24_24_cell_kissing_shell,24,0.9999999999999999,1.0000000000000004,96,4,CENTERED_FULL_DIMENSIONAL_BY_EQUAL_WEIGHT_CERTIFICATE,4
